description,director,cast,title,rating
"A hard-driving submarine captain is hired to steal gold from a sunken Nazi sub, but there's no honor among thieves during this underwater heist.",Kevin MacDonald,"Jude Law, Scoot McNairy, Ben Mendelsohn, Bobby Schofield, Tobias Menzies, Michael Smiley, Grigoriy Dobrygin, David Threlfall, Jodie Whittaker, Karl Davies",Black Sea,R
This documentary follows the rapid rise and fall of the Manhattan discotheque and the glittery debauchery that attracted the city's eccentric and elite.,Matt Tyrnauer,,Studio 54,TV-MA
"Disparate characters, including an aspiring time traveler, a phony chef, a drug-addicted waitress and several others, share a surprising connection.",Prasanth Varma,"Kajal Aggarwal, Nithya Menon, Regina Cassandra, Eesha Rebba, Murli Sharma, Srinivas Avasarala, Priyadarshi Pullikonda",Awe,TV-MA
"With his carefree bachelor days behind him, a young entrepreneur’s ambitions for adulthood come with some painful personal and professional decisions.",Gangadhar Salimath,"Deepak Subramanya, Apoorva Soma, Ramesh Bhat, Harsha H S, Karthik A, Goutham Shashidhar, Nagshree Karkone, Moksha Kushal, Vedashree Rao",Ayana,TV-MA
"Meet the growing, worldwide community of theorists who defend the belief that the Earth is flat while living in a society who vehemently rejects it.",Daniel J. Clark,,Behind the Curve,TV-14
"Inspired by the movie ""Thelma & Louise,"" three young people with Down syndrome leave the institution where they live to take a road trip together.",Marcelo Galvão,"Ariel Goldenberg, Rita Pokk, Breno Viola, Lima Duarte, Marco Luque, Daniel Torres, Monaliza Marchi, Amélia Bittencourt, Giulia de Souza Merigo, Deto Montenegro, Rui Unas",Buddies,TV-MA
"On the incandescent shores of Goa, a young man tumbles down a mind-bending – and soon dangerous – series of trips after taking hallucinatory drugs.",Shanawaz Nellikunnil,"Prashant Prakash, Kalki Koechlin, Prakash Raj, Gulshan Devaiah, Valeriya Polyanychko",Candyflip,TV-MA
"While taking shelter from a Mumbai monsoon, an investment banker forms an unlikely connection with a naïve prostitute over the course of the night.",Sudhir Mishra,"Kareena Kapoor, Rahul Bose, Rinke Khanna, Yashpal Sharma, Makrand Deshpande, Kabir Sadanand, Pankaj Jha",Chameli,TV-14
"Killed too soon due to a clerical error in heaven, a man is sent back to earth with a new lease on life, this time in the body of his portly friend.",Rajat Kapoor,"Ranvir Shorey, Gul Panag, Purab Kohli, Neil Bhoopalam, Gunjan Bakshi, Saurabh Shukla, Atul Kumar, Brijendra Kala, Bharati Achrekar, Rahul Vohra",Fatso,TV-14
"This miniseries spinoff of ""Rita"" follows teacher Hjørdis as she plans a school play on bullying featuring a cast of socially awkward students.",Lars Kaalund,"Lise Baastrup, Martin Brygmann, Ellen Hillingsø, Nicky Andersen, Nicoline Sharma Rubow, Jasmin Bart-Williams, William Rützou, Marius Due, Robert Hansen",Hjørdis,TV-MA
"Legendary comedy writer and director Larry Charles travels the world in search of humor in the most unusual, unexpected and dangerous places.",,Larry Charles,Larry Charles' Dangerous World of Comedy,TV-MA
"When a blind chef’s girlfriend goes missing, his unnerving search for her leads him to find there's more to her disappearance than what meets the eye.",Hari Nath,"Aadhi, Tapsee Pannu, Ritika Singh, Vennela Kishore, Sapthagiri",Neevevaro,TV-14
"A commitment-phobe agrees to marry his girlfriend, setting in motion a series of hilarious mishaps that has him questioning what he got himself into.",Saket Chaudhary,"Rahul Bose, Mallika Sherawat, Ranvir Shorey, Sharat Saxena, Aamir Bashir, Taraana Raja, Jas Arora, Suchitra Pillai, Sapna Bhavnani, Sophiya Chaudhary",Pyaar Ke Side Effects,TV-MA
"A renowned music teacher mentors a promising young singer, but when her fame begins to overshadow his own, he lets jealousy and competition take over.",Tanuja Chandra,"Lucky Ali, Simone Singh, Achint Kaur, Ehsan Khan, Harsh Vasisht, Yashodhan Bal, Gauri Karnik, Divya Dutta",Sur: The Melody of Life,TV-14
This docuseries disputes the Mexican government's account of how and why 43 students from Ayotzinapa Rural Teachers' College vanished in Iguala in 2014.,,Paco Ignacio Taibo II,The 43,TV-MA
"For the right price, BFFs Jen and Mel will ruthlessly end any romance. But when one of them grows a conscience, their friendship begins to unravel.","Jackie van Beek, Madeleine Sami","Madeleine Sami, Jackie van Beek, James Rolleston, Celia Pacquola, Ana Scotney, Rima Te Wiata, Carl Bland, Brett O'Gorman, Cohen Holloway, Jemaine Clement",The Breaker Upperers,TV-MA
"In the midnight hour, a lone DJ broadcasts the strangest – and scariest – tales from the outer edges of Kirlian, a lost city somewhere in Argentina.",,"Nicolás Van de Moortele, Letizia Denise Bloisi, María Dupláa, Ciro Herce, Milagros Molina, Jorge Pinarello, Casper Uncal, Jorge Luis Alonso",The Kirlian Frequency,TV-14
"Everyday guy Kabir is thrown for a loop when he meets Kuhu, a freewheeling party girl. Now, he's a changed man, dancing, running half-naked through the streets and donning ladies' shoes at her whim.",Sachin Kamlakar Khot,"Mallika Sherawat, Ranvir Shorey, Tinnu Anand, Sushmita Mukherjee, Manish Anand, Vihang Nayak, Bharati Achrekar, Zeenat Aman",Ugly Aur Pagli,TV-14
Competing con artists attempt to creatively and ruthlessly swindle a fatherly lottery winner while on a lively cruise from Spain to Mexico.,Daniel Monzón,"Luis Tosar, Rodrigo de la Serna, Joan Pera, Stephanie Cayo, Gloria Muñoz, Adrián Núñez, Alicia Fernández, Jorge Asín, Agustín Jiménez, Lupe Cartié Roda, Txell Aixendri, Xavi Lite, Alejandro Vera, João Lagarto",Yucatán,TV-MA
Get to know Barbie and her BFFs – including next-door neighbor Ken – in this animated vlog of adventures filmed inside her family's new dreamhouse.,,"America Young, Kirsten Day, Cassandra Morris, Cassidy Naber, Ritesh Rajan",Barbie Dreamhouse Adventures,TV-Y
"In his first-ever stand-up special, Ken Jeong pays tribute to his wife and shares stories about Hollywood and how ""The Hangover"" saved his life.",Jon M. Chu,Ken Jeong,"Ken Jeong: You Complete Me, Ho",TV-MA
"In the late '60s, fashion designer Ana enlists friends Clara, Pedro and Raúl to open a store and design school in Barcelona in this ""Velvet"" spinoff.",,"Marta Hazas, Asier Etxeandía, Adrián Lastra, Diego Martín, Fernando Guallar, Llorenç González, Megan Montaner, Mónica Cruz, Marta Torné, Andrea Duro, Aitana Sánchez-Gijón, Adriana Ozores, Imanol Arias",Velvet Colección,TV-14
"In rural India, where the stigma of menstruation persists, women make low-cost sanitary pads on a new machine and stride toward financial independence.",Rayka Zehtabchi,,Period. End of Sentence.,TV-PG
Three 30-something women in high-level jobs at a beauty e-commerce firm seem to have it all – except when it comes to love and romantic chemistry.,,"Aviis Zhong, Ben Wu, Ada Pan, Jacqueline Zhu, Gabriel Lan, Jack Lee, Wu Ting-chien, Wills Sia, Su Yen-ti, Jenny Huang",Iron Ladies,TV-14
"A police detective mourning a painful loss moves back to his peaceful hometown, only to be drawn into a murder case that dredges up dark secrets.",,"Yoann Blanc, Guillaume Kerbush, Anne Coesens, Jasmina Douieb, Tom Audenaert, Sam Louwyck, Catherine Salée, Jean-Henri Compère",The Break,TV-MA
"When an NBA lockout sidelines his big rookie client, an agent hatches a bold plan to save their careers – and disrupt the league's power structure.",Steven Soderbergh,"André Holland, Zazie Beetz, Bill Duke, Kyle MacLachlan, Melvin Gregg, Sonja Sohn, Zachary Quinto",High Flying Bird,TV-MA
Kevin Hart highlights the fascinating contributions of black history’s unsung heroes in this entertaining – and educational – comedy special.,Tom Stern,"Kevin Hart, Saniyya Sidney, Lil Rel Howery, Eoghan Thomas Murphy, Tiffany Haddish, Al Shearer, Lonnie Chavis, Alphonso Mcauley, Nika Williams, Barry Brewer, Greg Germann, John Ennis, Jay Johnston",Kevin Hart's Guide to Black History,TV-PG
"In a reimagining of the TV classic, a newly single Latina mother raises her teen daughter and tween son with the ""help"" of her old-school mom.",,"Justina Machado, Rita Moreno, Todd Grinnell, Isabella Gomez, Marcel Ruiz, Stephen Tobolowsky",One Day at a Time,TV-PG
"While Sam Cooke rose to stardom as a soul singer, his outspoken views on civil rights drew attention that may have contributed to his death at age 33.",Kelly Duane de la Vega,Sam Cooke,ReMastered: The Two Killings of Sam Cooke,TV-MA
"As a young couple write the story of their families' shared history, both reveal their relatives' dark secrets and one must make a painful confession.",Julio Medem,"Úrsula Corberó, Álvaro Cervantes, Najwa Nimri, Patricia López Arnaiz, Daniel Grao, Joaquín Furriel, Maria Molins, Emilio Gutiérrez Caba, Luisa Gavasa, José María Pou, Ángela Molina",The Tree of Blood,TV-MA
"The year is 2041 and a dispute between a man and his wife has set the human race back. In this battle of the sexes, the primitive life isn't so simple.",,"Chico, Ahmed Mekky, Hesham Maged, Bayoumi Fouad, Dina El-Sherbiny",The Last of the Schmucks,TV-MA
"While investigating an actress’s supposed suicide and her connection to the mafia, a veteran journalist discovers that corruption runs deep.",,"Adel Imam, Salah Abdallah, Hiba Majdi, Bushra, Fathy Abdel Wehab, Rania Farid Shawki, Ahmad Wafiq",Hidden Worlds,TV-14
The police officers at South Korea's busiest patrol division toil day and night as keepers of law and peace – but the reality is far from orderly.,,"Jung Yu-mi, Lee Kwang-soo, Bae Seong-woo, Bae Jong-ok, Sung Dong-il",Live,TV-MA
"Ray Romano cut his stand-up teeth at the Comedy Cellar in New York. Now, in his first comedy special in 23 years, he returns to where it all began.",Michael Showalter,Ray Romano,"Ray Romano: Right Here, Around the Corner",TV-MA
"After his teenage daughter goes missing, a widowed surgeon in an affluent neighborhood begins unearthing dark secrets about the people closest to him.",,"Michael C. Hall, Amanda Abbington, Marc Warren, Hannah Arterton, Audrey Fleurot, Nigel Lindsay",Safe,TV-MA
An Egyptian doctor becomes a police informant and uses his rare gift of tracking ancient artifacts in the smuggling business.,,"Amr Youssef, Amr Abdel Guelil, Saba Mubarak",Tayee,TV-MA
"The war is over, and Violet Evergarden needs a job. Scarred and emotionless, she takes a job as a letter writer to understand herself and her past.",,"Yui Ishikawa, Takehito Koyasu, Daisuke Namikawa, Aya Endo, Koki Uchiyama, Minori Chihara, Haruka Tomatsu",Violet Evergarden,TV-14
A gifted writer who's the youngest editor-in-chief ever at his publishing company gets enmeshed in the life of a former copywriter desperate for a job.,,"Lee Jong-suk, Lee Na-young, Jung Eugene, Wi Ha-jun, Kim Tae-woo, Kim Yu-mi, Cho Han-cheul, Kim Sun-young",Romance is a bonus book,TV-14
"A family’s tense reunion turns terrifying when they get trapped in their home by an unknown force, and sinister commands begin appearing on their TV.",Johnny Kevorkian,"Sam Gittins, Grant Masters, Neerja Naik, Abigail Cruttenden, Kris Saddler, Holly Weston, David Bradley",Await Further Instructions,TV-MA
"When caste discrimination prevents a villager from giving his deceased father a rightful burial, he takes his fight for equality to court.",Amshan Kumar,"Rajeev Anand, Manimegalai, A.S. Sasi Kumar, Vidhur Rajarajan, Sheela Rajkumar, Sethu Darwin, Anand Sampath, Karuna Prasad",Manusangada,TV-14
A Google executive boldly attempts a death-defying mission to travel to space and free-fall back to Earth without a rocket.,"Adam Davis, Jerry Kolber, Trey Nelson, Erich Sturm",,14 Minutes from Earth,TV-MA
"A teen navigates a bitter feud between his willful mom and a free-spirited man, who's the lover and insurance beneficiary of his recently deceased dad.","Hsu Chih-yen, Mag Hsu","Roy Chiu, Hsieh Ying-xuan, Joseph Huang, Spark Chen",Dear Ex,TV-MA
"Love is in the air as Zoe and friends go on a quest to find a fabled Maid's Stone. But when rivalry blinds them to danger, it's Raven to the rescue!",,"Jaylen Barron, Joe Ashman, Manpreet Bambra, Celine Buckens, Freddy Carter, Bruce Herbelin-Earle, Kerry Ingram, Charlotte Jordan, Geoffrey McGivern, Martin Bobb-Semple, Sadie Simm, Carla Woodcock",Free Rein: Valentine's Day,TV-G
"When Superman and the other Justice League superheroes start disappearing, it's up to Batman to unravel the caper and save the day.",Rick Morales,"Dee Bradley Baker, Troy Baker, John DiMaggio, Grey DeLisle, Tom Kenny, Nolan North, Khary Payton, James Arnold Taylor",Lego DC Comics: Batman Be-Leaguered,TV-Y7
"When Thanos joins forces with villains Killmonger and Klaue to destroy Earth, Black Panther rushes to stop them from stealing Wakanda's vibranium.",Michael D. Black,"James Mathis III, Keston John, Yvette Nicole Brown, Daisy Lightfoot, Isaac C. Singleton Jr., Trevor Devall, Liam O'Brien, Mick Wingert, Fred Tatasciore, Laura Bailey",LEGO Marvel Super Heroes: Black Panther,TV-Y7
"The Guardians are on a mission to deliver the Build Stone to the Avengers before the Ravagers, Thanos and his underlings steal it from them.",,,LEGO Marvel Super Heroes: Guardians of the Galaxy,TV-Y
"In Paw-Tucket, pets of all types form friendships, pursue their passions and have a great time being themselves.",,"Rhona Rees, Ingrid Nilson, Diana Kaarina, Travis Turner, Lili Beaudoin, Kyle Rideout, Vincent Tong, Alessandro Juliani, Ian Hanlin, Brittney Wilson, Bethany Brown, Tabitha St. Germain",Littlest Pet Shop: A World of Our Own,TV-Y7
Nadia keeps dying and reliving her 36th birthday party. She's trapped in a surreal time loop – and staring down the barrel of her own mortality.,,"Natasha Lyonne, Charlie Barnett, Yul Vazquez, Elizabeth Ashley, Dascha Polanco, Jeremy Bobb, Greta Lee, Rebecca Henderson, Brendan Sexton III, Chloë Sevigny, Brooke Timber",Russian Doll,TV-MA
"While investigating the mysterious death of a teacher, a grizzled detective gets caught up in the world of a high-stakes virtual reality game.",,"Alexander Petrov, Artyom Tkachenko, Valeria Shkirando, Marina Kaletskaya, Alisa Lozovskaya, Olga Sutulova, Fillip Gorenshtein, Olga Vinichenko, Petar Zakavitsa, Yan Gakharmanov",Sparta,TV-MA
College student Karen takes up Gun Gale Online and gets a reputation as the Pink Demon. Then her gaming buddy Pitohui asks her to join the Squad Jam.,,"Tomori Kusunoki, Yoko Hikasa, Kazuyuki Okitsu, Chinatsu Akasaki",Sword Art Online Alternative: Gun Gale Online,TV-MA
"True and Bartleby try to cheer up the Rainbow Kingdom’s loneliest citizen, but his gloomy mood is contagious! Can a trio of wishes turn things around?",,"Michela Luci, Jamie Watson, Eric Peterson, Cory Doran, Nicolas Aqui",True: Happy Hearts Day,TV-Y
"A feared critic, an icy gallery owner and an ambitious assistant snap up a recently deceased artist's stash of paintings – with dire consequences.",Dan Gilroy,"Jake Gyllenhaal, Rene Russo, Zawe Ashton, Toni Collette, John Malkovich, Natalia Dyer, Daveed Diggs, Tom Sturridge",Velvet Buzzsaw,R
"When Kak Limah turns up dead shortly after her marriage to a much younger man, her pesky ghost haunts the villagers, who can't seem to get rid of her.",Mamat Khalid,"Awie, Arab Khalid, Sharwani Ns, Tj Isa, Delimawati, Zul Ariffin, Uqasha Senrose, Ropie Cecupak",Hantu Kak Limah,TV-PG
Cherie and Jimmy's relationship is in a rut – until Cherie's estranged father shows up and a woman from Jimmy's past shows up with a hidden agenda.,Pang Ho-cheung,"Miriam Chin Wah Yeung, Shawn Yue, Paul Chun, Jiang Mengjie, Wang Xiao Chen, Siu Yam Yam, Kwok Cheung Tsang, Toby Lee, Dada Chan, Hugo Ng",Love Off the Cuff,TV-MA
